연료별 국가 고유 발열량(에너지법 시행규칙 별표),,,,,,,,,,,,,,,,,,,,,,
연료명,연료 단위,단위,,총발열량,순발열량,"이산화탄소 배출계수
(kgCO₂/TJ)",메탄 배출계수(kgCH₄/TJ),,,,,,,아산화질소 배출계수(kgN₂O/TJ),,,,,,,,단위
,,에너지법 시행규칙 상,TJ로 환산시,,,,에너지산업,제조업,건설업,상업,공공,가정,기타,에너지산업,제조업,건설업,상업,공공,가정,기타,,
,,,,,,,,,,,,,,,,,,,,,* lb → kg 환산 : ,0.453592
온실가스별 지구온난화 계수,,,,,,,,,,,,,,,,,,,,,,
CO₂,CH₄,N₂O,,,,,,,,,,,,,,,,,,,,
1,21,310,,,,,,,,,,,,,,,,,,,,
※ 출처: 온실가스 배출권의 할당 및 거래에 관한 법률 시행령 [별표 2] 온실가스별 지구온난화 계수 ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
공정배출원 배출계수,,,,,,,,,,,,,,,,,,,,,,
공정배출원,세부항목,단위,CO₂ 단위,CH₄ 단위,,,,,,,,,,,,,,,,,,
구분,세부항목,단위,CO₂(kgCO₂/t생산량),,,석회_생산량,,,,,,,,,,,,,,,,
석회_생산량,생석회,톤,750,,,공정상_탄산염_사용량,,,,,,,,,,,,,,,,
석회_생산량,고토석회(경소백운석),톤,770,,,유리_생산량,,,,,,,,,,,,,,,,
구분,세부항목,단위,CO₂(kgCO₂/t사용량)_탄산염 순도 100% 기준,,,카바이드_생산량,,,,,,,,,,,,,,,,
공정상_탄산염_사용량,석회석(CaCO₃),톤,440,,,소다회_생산량,,,,,,,,,,,,,,,,
공정상_탄산염_사용량,마그네사이트(MgCO₃),톤,522,,,합금철_생산량,,,,,,,,,,,,,,,,
공정상_탄산염_사용량,백운석(CaMg·(CO₃)₂),톤,477,,,아연_생산량,,,,,,,,,,,,,,,,
공정상_탄산염_사용량,능철광(FeCO₃),톤,380,,,납_생산량,,,,,,,,,,,,,,,,
공정상_탄산염_사용량,"철백운석(Ca(Fe,Mg,Mn)(CO₃)₂)",톤,442,,,,,,,,,,,,,,,,,,,
공정상_탄산염_사용량,망간광(MnCO₃),톤,383,,,,,,,,,,,,,,,,,,,
공정상_탄산염_사용량,소다회(Na2CO₃),톤,415,,,,,,,,,,,,,,,,,,,
구분,세부항목,단위,kgCO₂/t생산량_폐유리(컬릿) 재활용 비율 필요,,,,,,,,,,,,,,,,,,,
유리_생산량,판유리,톤,210,,,,,,,,,,,,,,,,,,,
유리_생산량,유리용기(납유리),톤,210,,,,,,,,,,,,,,,,,,,
유리_생산량,유리용기(착색유리),톤,210,,,,,,,,,,,,,,,,,,,
유리_생산량,유리장섬유,톤,190,,,,,,,,,,,,,,,,,,,
유리_생산량,유리단섬유,톤,250,,,,,,,,,,,,,,,,,,,
유리_생산량,브라운관용유리(Panel),톤,180,,,,,,,,,,,,,,,,,,,
유리_생산량,브라운관용유리(Funnel),톤,130,,,,,,,,,,,,,,,,,,,
유리_생산량,가정용 유리제품,톤,100,,,,,,,,,,,,,,,,,,,
유리_생산량,"실험용기, 약병",톤,30,,,,,,,,,,,,,,,,,,,
유리_생산량,전등용유리,톤,200,,,,,,,,,,,,,,,,,,,
구분,세부항목,단위,kgCO₂/t생산량,kgCH₄/t생산량,,,,,,,,,,,,,,,,,,
카바이드_생산량,칼슘카바이드(CaC₂),톤,"1,090",0,,,,,,,,,,,,,,,,,,
카바이드_생산량,실리콘카바이드(SiC),톤,"2,620",11.6,,,,,,,,,,,,,,,,,,
구분,세부항목,단위,kgCO₂/t생산량,,,,,,,,,,,,,,,,,,,
소다회_생산량,소다회(Na₂CO₃),톤,138,,,,,,,,,,,,,,,,,,,
구분,세부항목,단위,kgCO₂/t생산량,,,,,,,,,,,,,,,,,,,
합금철_생산량,합급철(Si 함량 45%),톤,"2,500",,,,,,,,,,,,,,,,,,,
합금철_생산량,합금철(Si 함량 65%),톤,"3,600",,,,,,,,,,,,,,,,,,,
합금철_생산량,합금철(Si 함량 75%),톤,"4,000",,,,,,,,,,,,,,,,,,,
합금철_생산량,합금철(Si 함량 90%),톤,"4,800",,,,,,,,,,,,,,,,,,,
합금철_생산량,망간철(C함량 7%),톤,"1,300",,,,,,,,,,,,,,,,,,,
합금철_생산량,망간철(C함량 1%),톤,"1,500",,,,,,,,,,,,,,,,,,,
합금철_생산량,실리코망간,톤,"1,400",,,,,,,,,,,,,,,,,,,
합금철_생산량,실리콘메탈,톤,"5,000",,,,,,,,,,,,,,,,,,,
구분,세부항목,단위,kgCO₂/t생산량,,,,,,,,,,,,,,,,,,,
아연_생산량,제련 공정 구분 불가,톤,"1,720",,,,,,,,,,,,,,,,,,,
아연_생산량,Waelz Kiln 제련 공정,톤,"3,660",,,,,,,,,,,,,,,,,,,
아연_생산량,전기 열 공정,톤,0,,,,,,,,,,,,,,,,,,,
아연_생산량,건식야금법 공정,톤,430,,,,,,,,,,,,,,,,,,,
구분,세부항목,단위,kgCO₂/t생산량,,,,,,,,,,,,,,,,,,,
납_생산량,납,톤,"5,200",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
폐기물 소각 배출계수,,,,,,,,,,,,,,,,,,,,,,
폐기물 정보,,,,배출계수,,,(참고) 고상폐기물 배출 계수,,,,,,,,,,,,,,,
폐기물 성상,폐기물 형태,폐기물 세분류,단위,"CO₂
(tCO₂/t-Waste)","CH₄
(tCH₄/t-Waste)","N₂O
(tN₂O/t-Waste)",dm,CF,FCF,곱,,,,,,,,,,,,
